rowid,Activity,HCD_Space,HCD_Subspace,Reason,Annotator
1,Refined the project problem statement — Rewrote the problem description to better capture the technical needs and measurable outcomes.,SYNTHESIZE,Define,Redefining the problem,Taylor
2,Met with the client to clarify requirements — Asked targeted engineering questions to fill in missing specifications or constraints.,UNDERSTAND,Empathize,Understanding client needs to determine constraints,Taylor
3,"Collected stakeholder feedback — Gathered input from users, technicians, or advisors to understand real-world operational needs.",UNDERSTAND,Empathize,Empathizing with stakeholders to inform the design,Taylor
4,"Created initial engineering requirements — Drafted early performance requirements such as loads, voltages, flow rates, or tolerances.",SYNTHESIZE,Define,Defining initial design requirements,Taylor
5,Updated project scope based on new information — Added or removed features after learning more about constraints or user needs.,IDEATE,Narrow Concepts,Improving plan based on new information,taylor
6,Developed early system goals — Outlined what the final engineered system should achieve functionally and technically.,IDEATE,Plan,Planning goals for final product,Taylor
7,"Set up team roles and responsibilities — Defined each member’s primary engineering responsibilities (CAD, circuits, software, testing).",SYNTHESIZE,Organize,Organizing roles ,Taylor
8,"Created the initial Gantt chart — Built a timeline showing design, prototyping, testing, and review milestones.",IDEATE,Plan,Planning the design timeline,Taylor
9,"Identified project constraints — Documented limits such as cost caps, weight restrictions, power limits, or safety rules.",SYNTHESIZE,Define,Defining constraints,taylor
10,"Reviewed existing documentation from the client — Analyzed drawings, manuals, or reports to understand current system performance.",UNDERSTAND,Explore,exploring information from client,taylor
11,Conducted literature review on similar engineering systems — Summarized previous academic or industry approaches.,UNDERSTAND,Explore,Exploring information ,Taylor
12,"Researched relevant industry standards — Identified applicable ASME, IEEE, ISO, ASTM, or NFPA guidelines.",UNDERSTAND,Explore,gathering information,taylor
13,"Compared existing commercial solutions — Looked at specs, features, and performance claims of similar products.",UNDERSTAND,Explore,Exploring existing products to inform the design,Taylor
14,Looked up patents related to our design — Reviewed patent diagrams and claims to understand prior art.,UNDERSTAND,Explore,Researching existing designs,taylor
15,"Analyzed benchmark product specifications — Compared power, size, capacity, efficiency, and reliability across products.",UNKNOWN,UNKNOWN,"Unclear whether the team is prototyping their own design and doing analysis for an evaluation, or gathering information (understand space)/synthesizing information to plan their design",Taylor
16,"Investigated material options — Researched suitable metals, polymers, composites, or electronic components.",UNDERSTAND,Explore,Exploring materials to use in design,taylor
17,Studied similar engineering projects from past years — Identified successful design choices and common pitfalls.,UNDERSTAND,Explore,gathering information for design,taylor
18,Evaluated cost ranges of comparable systems — Gathered typical pricing for main components and subsystems.,SYNTHESIZE,Interpret,Synthesizing cost range information for design,Taylor
19,"Reviewed safety regulations applicable to our design — Determined whether OSHA, UL, IEC, or other rules apply.",UNDERSTAND,Explore,Gathering information for design,taylor
20,"Researched environmental impact considerations — Looked at recyclability, emissions, power consumption, and waste.",UNDERSTAND,Explore,gathering information for design,Taylor
21,Sketched multiple design concepts — Produced quick mechanical or electrical sketches to visualize alternatives.,IDEATE,Brainstorm,Brainstorming concepts,Taylor
22,Brainstormed alternative engineering solutions — Generated as many feasible approaches as possible.,IDEATE,Brainstorm,Brainstorming ideas,Taylor
23,Developed a functional block diagram — Broke the system into major functions and linked them logically.,PROTOTYPE,Engage,"My take on this is that they are documenting their current prototype to better understand its performance. However, this borders on needing more evidence to tell how far along they really are",Taylor
24,Created use-case scenarios — Outlined how the product will be used in real operational environments.,IMPLEMENT,Sustain,"I think this falls under implementation, as it documents best use for the final product",Taylor
25,Built a morphological chart for concept combinations — Explored all valid combinations of subsystem options.,IDEATE,Brainstorm,Creating a list of all possible combinations leads to new ideas. It's thinking about the possibilities.,Matt
26,Generated rough CAD sketches — Created early 3D shapes to evaluate layout ideas and geometry.,IDEATE,Brainstorm,Brainstorming layout,Taylor
27,"Proposed preliminary subsystem layouts — Organized sensors, motors, circuits, or components on a rough system layout.",IDEATE,Propose,Proposing layouts,Taylor
28,Discussed feasibility with faculty advisors — Presented high-level concepts and received expert critique.,IDEATE,Narrow Concepts,My take on this is that they're using the feedback to narrow their design focus,Taylor
29,"Identified potential risks in early concepts — Listed failure points, difficult integrations, or unreliable assumptions.",IDEATE,Plan,This seems to be part of the planning phase- identifying weaknesses before moving forward,Taylor
30,Narrowed concepts to a top set for evaluation — Selected the most promising alternatives for deeper analysis.,IDEATE,Narrow Concepts,Narrowing concepts to determine evaluation plan,Taylor
31,Built a concept selection matrix — Compared the top alternatives using weighted criteria.,IDEATE,Narrow Concepts,Already have alternatives and now providing a method to select which one is most viable. ,Matt
32,"Evaluated manufacturability of each concept — Assessed how easy each concept is to machine, print, or assemble.",IDEATE,Narrow Concepts,The team seems to be preparing to prototype components,Taylor
33,Analyzed cost estimates for major alternatives — Calculated approximate subsystem and total system costs.,PROTOTYPE,Evaluate,"The team is considering alternatives to the solution, which is part of the evaluation process of prototyping",Taylor
34,Assessed engineering feasibility of proposed concepts — Checked whether the design can meet required performance levels.,IDEATE,Narrow Concepts,"This is likely ideation, as students are determing whether the design is viable for moving forward",Taylor
35,"Compared performance trade-offs — Evaluated speed vs. cost, size vs. strength, accuracy vs. complexity.",SYNTHESIZE,Interpret,I think the team is using information that they gathered to determine the performance metrics they need to prioritze,Taylor
36,Met with the client to present concept options — Received approval or feedback on engineering direction.,PROTOTYPE,Iterate,Using feedback to continue process,Taylor
37,Gathered advisor feedback on technical direction — Incorporated faculty suggestions into updated concepts.,PROTOTYPE,Iterate,Using feedback to iterate on design,Taylor
38,Updated concept diagrams — Improved or corrected earlier sketches and diagrams based on feedback.,PROTOTYPE,Iterate,Improving diagrams based on feedback,Taylor
39,Selected final design direction — Chose the concept the team will carry forward to detailed design.,IDEATE,Narrow Concepts,Narrowed plan for finalized design direction,Taylor
40,Documented rationale for concept selection — Wrote an explanation supporting the final choice using data.,IMPLEMENT,Develop,This document justifies final design decisions,Taylor
41,Created a detailed system architecture diagram — Mapped all subsystems and their interactions.,UNKNOWN,UNKNOWN,"This could be ideating, where they're planning out the design system to prototype. It could also be synthesizing, where they're using their preliminary info to develop a potential architecture diagram that will be refined during brainstorming. Or, they may be evaluating their prototype. We need to know how deep they are in their process",Taylor
42,Defined subsystem boundaries — Specified what each subsystem is responsible for and what it is not.,UNKNOWN,UNKNOWN,This could be planning or synthesizing- more evidence would help determine where the team is in the design process,Taylor
43,"Developed the interface specification between subsystems — Documented mechanical mounts, electrical connections, and communication protocols.",PROTOTYPE,Evaluate,evaluating how subsystems work together,Taylor
44,Produced a preliminary bill of materials (BOM) — Built a list of parts including estimated costs and sources.,SYNTHESIZE,Organize,Organizing preliminary design information,taylor
45,Estimated overall system cost — Aggregated subsystem costs into a full project-level estimate.,IDEATE,Plan,Planning the cost of developing their full design,Taylor
46,Updated the system block diagram — Refined signal flows and function groupings.,PROTOTYPE,Iterate,Iterating design diagram,taylor
47,Identified required sensors/actuators — Selected candidate components based on required ranges and accuracy.,IDEATE,Plan,Planning components to use,taylor
48,"Outlined control system requirements — Defined feedback loops, sampling rates, and control logic.",IDEATE,Plan,Planning software design,Taylor
49,"Calculated high-level performance estimates — Estimated forces, power consumption, speeds, or output levels.",IDEATE,Brainstorm,Same reasoning as for the fluid flow calculation task,Taylor
50,Conducted preliminary FMEA — Listed potential failure modes and assessed severity and likelihood.,IDEATE,Plan,The FMEA should be the precursor to building and testing a prototype,Taylor
51,Developed detailed CAD models — Produced full 3D part models with realistic geometry.,PROTOTYPE,(Re)Create,Created models,Taylor
52,Ran preliminary stress calculations — Evaluated loads using hand calculations or simple FEA.,PROTOTYPE,Evaluate,Evaluating performance,Taylor
53,"Designed preliminary circuits — Drafted schematics showing power paths, sensors, and signal processing.",PROTOTYPE,(Re)Create,Designing components,Taylor
54,Developed a wiring diagram — Created a map of all electrical connections in the system.,PROTOTYPE,Engage,Same as the previous task with the block diagram,Taylor
55,Created a rough PCB layout — Designed a board outline and arranged components.,PROTOTYPE,(Re)Create,Designing a component,Taylor
56,Built MATLAB/Simulink models — Simulated system dynamics or control loops.,PROTOTYPE,Evaluate,The team seems to be building and testing software for their design.,Taylor
57,Designed initial control algorithms — Wrote pseudocode or flowcharts for system behavior.,PROTOTYPE,(Re)Create,Designing algorithm prototype,taylor
58,Modeled thermal loads — Estimated heat generation and necessary cooling approaches.,IDEATE,Brainstorm,Using models to brainstorm approaches,Taylor
59,Calculated fluid flow or pressure requirements — Applied basic fluid mechanics to design piping or pumps.,IDEATE,Brainstorm,This could fit a couple different spaces but in my opinion the best fit is ideate. The team is determining the requirements that will guide their design. I'm going to assume they're doing this using information they gathered earlier in the process,Taylor
60,Selected materials and components based on calculations — Justified choices using engineering properties.,IDEATE,Plan,Planning materials,Taylor
61,3D printed prototype parts — Produced low-cost physical models to verify geometry.,PROTOTYPE,Evaluate,Creating prototypes fits the prototype space. Verifying geometry is an evaluation of the parts,Taylor
62,Machined or fabricated simple components — Created metal or plastic parts using shop tools.,PROTOTYPE,(Re)Create,Developing components,Taylor
63,Soldered prototype circuits — Built early boards for testing signals and connections.,PROTOTYPE,(Re)Create,creating early prototypes,Taylor
64,Assembled a breadboard circuit — Prototyped electronic functionality quickly.,PROTOTYPE,(Re)Create,Developed a prototype to test a concept,Taylor
65,Set up test rigs for experiments — Built fixtures or mounts to support repeatable testing.,PROTOTYPE,Evaluate,Setting up rigs to evaluate components,taylor
66,Built first mechanical prototype — Created an early version of structural or moving parts.,PROTOTYPE,(Re)Create,Built an early prototype,Taylor
67,Developed prototype firmware — Wrote initial code for reading sensors or driving actuators.,PROTOTYPE,(Re)Create,Designing software,Taylor
68,"Created early software UI — Implemented basic screens, control panels, or visualization tools.",PROTOTYPE,(Re)Create,Designed UI for prototype,Taylor
69,Manufactured a second iteration of prototype parts — Corrected earlier geometry or fit problems.,PROTOTYPE,Iterate,Iterating components,taylor
70,Performed basic fit-checks on assembled modules — Verified that parts interface correctly.,PROTOTYPE,Evaluate,Evaluating performance,Taylor
71,"Wrote a test plan — Documented what tests will be done, how, and why.",IDEATE,Plan,Planning tests to perform,Taylor
72,Built a test procedure for a subsystem — Created step-by-step instructions so results are repeatable.,PROTOTYPE,Evaluate,Developed test procedure,Taylor
73,"Set up instrumentation for data collection — Configured sensors, DAQs, oscilloscopes, or logging software.",PROTOTYPE,Evaluate,Collecting data for evaluation,Taylor
74,Performed load or stress tests — Measured structural or mechanical capacity under load.,PROTOTYPE,Evaluate,Testing performance,Taylor
75,"Measured electrical performance — Checked voltages, currents, noise levels, or signal integrity.",PROTOTYPE,Evaluate,Evaluating performance,Taylor
76,"Ran motion tests on mechanical components — Observed actuation speed, friction, or alignment.",PROTOTYPE,Evaluate,Evaluating performance,Taylor
77,Conducted usability testing with sample users — Asked representative users to try the prototype.,PROTOTYPE,Evaluate,"Even though users are involved, this is still in the prototyping phase as the testing will lead to iteration",Taylor
78,Recorded test data for analysis — Stored measurements in spreadsheets or databases.,SYNTHESIZE,Organize,Organizing data,taylor 
79,Identified failure modes from test results — Found weak points or unexpected behaviors.,PROTOTYPE,Evaluate,Evaluating weaknesses,Taylor
80,Updated design based on test findings — Made revisions to improve performance or reliability.,PROTOTYPE,Iterate,Improving design,taylor
81,"Integrated mechanical components — Assembled moving parts, frames, mounts, or enclosures.",PROTOTYPE,(Re)Create,Assembling design components,taylor
82,"Connected sensors to the microcontroller — Set up wiring, connectors, and pin assignments.",PROTOTYPE,(Re)Create,Building the prototype,Taylor
83,Loaded and tested firmware on the prototype — Uploaded code and checked sensor readings or actuator outputs.,PROTOTYPE,Evaluate,Testing components,taylor
84,Merged hardware and software subsystems — Connected physical components to code running on the controller or PC.,PROTOTYPE,(Re)Create,Assembling components,taylor
85,"Debugged integration issues — Fixed miswiring, incorrect assumptions, or code errors.",PROTOTYPE,Evaluate,Debugging performance errors,Taylor
86,"Verified electrical connections and signal integrity — Checked continuity, noise, and power stability.",PROTOTYPE,Evaluate,Evaluating performance,Taylor
87,Calibrated sensors and actuators — Performed procedures to ensure correct readings or motions.,PROTOTYPE,(Re)Create,The team seems to be working with design components,Taylor
88,Updated wiring or routing after integration problems — Rerouted cables or changed component placement.,PROTOTYPE,Iterate,Iterated design components,Taylor
89,Conducted full-system dry run — Operated the system without load or under safe conditions.,PROTOTYPE,Evaluate,Testing system performance,Taylor
90,"Documented integration progress — Wrote down findings, problems, and next steps.",IMPLEMENT,Develop,I think this sort of documentation supports future replication,taylor
91,"Updated weekly engineering notebook entries — Documented work completed, results, and challenges.",UNDERSTAND,Reflect,Reflecting on process,Taylor
92,"Revised design documentation — Updated drawings, schematics, or models after changes.",PROTOTYPE,Iterate,Iterating design documents,Taylor
93,"Prepared slides for weekly meetings — Created visuals showing data, models, and progress.",SYNTHESIZE,Debrief,Debriefing progress,Taylor
94,Wrote a progress report for the team — Summarized tasks completed and planned work.,UNDERSTAND,Reflect,Reflecting on process,taylor
